LUPS_J70273_1_ST_T0_B0_0000_0A31901_APATP_L001.clean.dehost.fasta.gz	LUPS_J70274_1_ST_T0_B0_0000_0A31902_APATP_L001.clean.dehost.fasta.gz	LUPS_J70275_1_ST_T0_B0_0000_0A31903_APATP_L001.clean.dehost.fasta.gz	LUPS_J70276_1_ST_T0_B0_0000_0A31904_APATP_L001.clean.dehost.fasta.gz	LUPS_J70277_1_ST_T0_B0_0000_0A31905_APATP_L001.clean.dehost.fasta.gz	LUPS_J70278_1_ST_T0_B0_0000_0A31906_APATP_L001.clean.dehost.fasta.gz	LUPS_J70279_1_ST_T0_B0_0000_0A31907_APATP_L001.clean.dehost.fasta.gz	LUPS_J70280_1_ST_T0_B0_0000_0A31908_APATP_L001.clean.dehost.fasta.gz	LUPS_J70281_1_ST_T0_B0_0000_0A31909_APATP_L001.clean.dehost.fasta.gz	LUPS_J70282_1_ST_T0_B0_0000_0A31910_APATP_L001.clean.dehost.fasta.gz	LUPS_J70283_1_ST_T0_B0_0000_0A31921_APATP_L001.clean.dehost.fasta.gz	LUPS_J70284_1_ST_T0_B0_0000_0A31922_APATP_L001.clean.dehost.fasta.gz	LUPS_J70285_1_ST_T0_B0_0000_0A31923_APATP_L001.clean.dehost.fasta.gz	LUPS_J70286_1_ST_T0_B0_0000_0A31924_APATP_L001.clean.dehost.fasta.gz	LUPS_J70287_1_ST_T0_B0_0000_0A31925_APATP_L001.clean.dehost.fasta.gz	LUPS_J70288_1_ST_T0_B0_0000_0A31926_APATP_L001.clean.dehost.fasta.gz	LUPS_J70289_1_ST_T0_B0_0000_0A31927_APATP_L001.clean.dehost.fasta.gz	LUPS_J70290_1_ST_T0_B0_0000_0A31928_APATP_L001.clean.dehost.fasta.gz	LUPS_J70291_1_ST_T0_B0_0000_0A31929_APATP_L001.clean.dehost.fasta.gz	LUPS_J70292_1_ST_T0_B0_0000_0A31930_APATP_L001.clean.dehost.fasta.gz
OTU_1	5904	5321	6667	5355	8132	6839	8087	12259	8671	8981	3680	7436	4802	1724	5031	6356	2467	3061	4933	4826
OTU_8	256	85	405	541	542	163	91	201	257	47	1443	57	707	140	114	293	14	84	187	782
OTU_25	484	42	367	215	95	87	63	201	240	24	0	0	0	0	0	0	0	0	0	0
OTU_129	133	21	271	42	20	21	44	44	107	1	2421	126	1582	2762	341	92	135	18	307	1030
OTU_57	36	0	75	30	54	4	6	3	16	0	89	6	118	17	18	38	6	17	2	117
OTU_11	241	227	213	34	262	147	254	222	71	164	24	86	137	31	122	359	8	323	510	104
OTU_14	167	40	210	44	84	10	50	67	34	7	35	0	2	8	23	38	10	15	14	34
OTU_68	22	8	3	6	3	34	7	9	27	13	1	51	0	0	8	1	13	3	2	2
OTU_4	197	475	4	162	931	313	318	295	812	4759	1	1	27	0	5	340	0	286	212	97
OTU_60	25	8	4	3	7	0	2	9	0	6	2	15	16	2	0	2	6	0	0	5
OTU_139	11	5	7	5	1	11	16	18	1	3	0	0	0	0	0	0	0	0	0	0
OTU_7	252	746	204	70	201	262	116	172	138	805	115	184	222	98	141	177	39	31	9	5
OTU_13	497	48	0	29	229	5	1	218	1	53	223	0	17	0	4	1	0	7	248	101
OTU_29	66	2	16	0	22	0	21	0	29	0	5	0	0	0	0	0	2	28	117	0
OTU_93	19	4	22	2	4	11	14	14	0	0	0	41	74	2	56	12	1	1	0	9
OTU_66	7	2	4	9	13	12	18	16	3	5	6	2	3	0	6	43	28	16	32	4
OTU_28	72	18	0	35	54	0	39	83	26	26	0	0	0	0	0	0	0	0	0	0
OTU_3	682	792	431	265	721	1187	848	289	661	122	653	222	329	566	1487	1350	1276	807	702	706
OTU_55	15	15	2	26	0	0	0	191	0	0	0	0	0	0	0	0	16	0	0	0
OTU_10	274	139	12	40	164	351	345	866	229	418	10	20	5	0	39	29	2	86	30	26
OTU_9	99	77	1	25	11	755	373	165	291	65	0	0	1	0	0	2	2	1	1	3
OTU_30	42	32	4	6	8	3	43	47	27	9	3	2	5	23	0	2	5	1	17	1
OTU_23	158	14	127	256	76	3	2	2	11	61	0	1	0	0	0	1	0	0	0	0
OTU_98	25	15	4	8	24	11	45	27	23	9	8	58	5	0	1	8	10	7	4	4
OTU_17	145	19	182	33	217	66	48	44	48	105	34	42	6	300	16	2	190	0	0	0
OTU_5	80	12	170	13	20	12	16	16	60	0	1507	81	976	1847	199	42	77	8	181	655
OTU_16	117	64	7	409	242	15	2	9	35	7	50	0	310	0	41	16	0	4	18	159
OTU_45	71	3	157	230	57	4	15	11	56	4	135	15	86	144	3	9	8	2	1	68
OTU_114	19	6	1	3	2	30	18	25	16	11	0	3	0	1	0	0	2	0	3	0
OTU_100	15	8	0	2	8	2	4	4	2	3	0	7	1	0	5	7	1	3	1	4
OTU_20	191	55	1	65	21	155	2	2	56	0	0	0	0	0	0	0	0	0	0	0
OTU_52	19	1	110	11	5	1	10	21	5	7	28	11	6	92	13	20	13	3	5	26
OTU_41	29	11	20	14	10	5	24	17	13	0	6	2	37	11	6	4	2	7	5	44
OTU_199	2	0	3	6	2	0	0	0	0	0	3	1	1	16	1	0	1	0	3	0
OTU_77	20	15	12	10	10	58	26	30	22	15	16	16	6	1	10	17	12	13	13	4
OTU_26	36	48	17	5	27	0	0	0	0	0	8	9	4	0	8	36	0	32	92	12
OTU_34	59	47	23	17	32	0	0	0	0	0	7	13	4	1	6	1	3	5	36	10
OTU_15	8	0	17	0	1	1	0	6	0	2	71	52	77	14	49	44	97	9	84	71
OTU_138	12	12	4	0	1	6	3	0	3	8	0	36	0	0	1	1	22	2	0	2
OTU_56	57	8	60	9	44	37	25	49	62	8	9	2	12	5	2	1	8	0	15	4
OTU_105	6	4	4	3	0	1	6	6	6	1	1	3	4	6	2	0	2	0	2	3
OTU_33	56	2	54	11	4	7	15	30	7	7	22	73	87	14	29	17	21	10	19	25
OTU_89	27	3	112	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_49	29	8	0	6	32	16	12	17	66	10	0	34	99	63	0	0	0	0	0	0
OTU_180	14	1	0	0	0	0	2	0	2	0	0	11	0	1	0	0	0	0	1	2
OTU_91	1	3	1	0	0	11	9	4	3	3	3	7	2	0	2	0	3	7	25	2
OTU_169	11	7	8	9	23	1	3	2	11	15	5	2	1	1	5	2	9	3	5	6
OTU_131	12	6	1	4	16	1	0	7	0	8	0	0	0	0	0	0	0	0	0	0
OTU_117	9	1	1	31	7	2	7	2	7	0	8	10	8	8	11	6	18	4	6	6
OTU_168	11	12	5	7	14	10	17	23	24	7	12	5	12	0	11	25	32	13	32	21
OTU_120	17	5	31	3	13	0	0	3	0	1	9	0	1	0	1	1	0	1	1	2
OTU_38	4	3	0	25	9	14	137	4	22	7	3	2	11	0	15	0	0	0	0	0
OTU_71	22	2	1	27	10	2	1	5	0	3	60	17	9	19	4	7	2	0	36	8
OTU_112	19	0	35	23	9	3	1	3	8	3	1	3	1	0	0	0	0	0	0	0
OTU_123	3	1	10	2	12	1	3	2	2	0	5	13	21	14	4	3	7	2	3	14
OTU_102	8	1	4	3	4	2	0	3	11	2	11	1	29	62	2	1	18	0	5	3
OTU_51	6	1	3	1	1	2	1	0	0	0	33	22	55	14	17	8	30	3	5	7
OTU_172	10	1	5	2	3	2	2	8	2	3	9	14	18	13	4	10	13	4	18	2
OTU_153	6	4	0	0	1	0	0	8	0	0	2	0	0	0	5	0	0	0	7	4
